Pollutant,Measure,Measure Info,Location,Period,Start_Date,Value
Fine particles (PM 2.5),Mean,mcg/m3,Rockaway and Broad Channel (CD14),Annual Average 2021,2021-01-01,5.918832207
Fine particles (PM 2.5),Mean,mcg/m3,Rockaway and Broad Channel (CD14),Annual Average 2017,2017-01-01,6.32
Fine particles (PM 2.5),Mean,mcg/m3,Rockaway and Broad Channel (CD14),Winter 2010-11,2010-12-01,10.28
Fine particles (PM 2.5),Mean,mcg/m3,Rockaway and Broad Channel (CD14),Summer 2009,2009-06-01,9.6
Nitrogen dioxide (NO2),Mean,ppb,Sunset Park (CD7),Summer 2019,2019-06-01,16.22
Nitrogen dioxide (NO2),Mean,ppb,Flushing and Whitestone (CD7),Summer 2015,2015-06-01,14.4
Nitrogen dioxide (NO2),Mean,ppb,Flushing and Whitestone (CD7),Winter 2019-20,2019-12-01,22.99
Fine particles (PM 2.5),Mean,mcg/m3,Upper West Side (CD7),Winter 2021-22,2021-12-01,6.790552345
Fine particles (PM 2.5),Mean,mcg/m3,Rockaway and Broad Channel (CD14),Annual Average 2018,2018-01-01,6.06
Fine particles (PM 2.5),Mean,mcg/m3,Rockaway and Broad Channel (CD14),Summer 2021,2021-06-01,7.248801127
Fine particles (PM 2.5),Mean,mcg/m3,Rockaway and Broad Channel (CD14),Winter 2021-22,2021-12-01,5.964648061
Fine particles (PM 2.5),Mean,mcg/m3,Rockaway and Broad Channel (CD14),Summer 2013,2013-06-01,9.44
Fine particles (PM 2.5),Mean,mcg/m3,Rockaway and Broad Channel (CD14),Summer 2012,2012-06-01,9.41
Fine particles (PM 2.5),Mean,mcg/m3,Flushing and Whitestone (CD7),Annual Average 2016,2015-12-31,7.26
Nitrogen dioxide (NO2),Mean,ppb,Rockaway and Broad Channel (CD14),Winter 2019-20,2019-12-01,17.49
Nitrogen dioxide (NO2),Mean,ppb,Rockaway and Broad Channel (CD14),Summer 2019,2019-06-01,7.22
Nitrogen dioxide (NO2),Mean,ppb,Rockaway and Broad Channel (CD14),Annual Average 2023,2023-01-01,9.361544124
Nitrogen dioxide (NO2),Mean,ppb,Rockaway and Broad Channel (CD14),Winter 2022-23,2022-12-01,11.87774283
Nitrogen dioxide (NO2),Mean,ppb,Rockaway and Broad Channel (CD14),Winter 2012-13,2012-12-01,18.77
Nitrogen dioxide (NO2),Mean,ppb,Rockaway and Broad Channel (CD14),Annual Average 2010,2009-12-01,13.95
Nitrogen dioxide (NO2),Mean,ppb,Williamsburg - Bushwick,Annual Average 2012,2011-12-01,23.43
Nitrogen dioxide (NO2),Mean,ppb,South Beach - Tottenville,Annual Average 2012,2011-12-01,12.47
Nitrogen dioxide (NO2),Mean,ppb,South Beach - Tottenville,Summer 2022,2022-06-01,6.854871982
Nitrogen dioxide (NO2),Mean,ppb,Southeast Queens,Winter 2020-21,2020-12-01,19.77780206
Nitrogen dioxide (NO2),Mean,ppb,Sunset Park (CD7),Annual Average 2014,2013-12-01,20.33
Fine particles (PM 2.5),Mean,mcg/m3,Sunset Park (CD7),Winter 2013-14,2013-12-01,12.62
Fine particles (PM 2.5),Mean,mcg/m3,Upper West Side (CD7),Annual Average 2022,2022-01-01,6.101604201
Fine particles (PM 2.5),Mean,mcg/m3,Rockaway and Broad Channel (CD14),Winter 2013-14,2013-12-01,9.87
Fine particles (PM 2.5),Mean,mcg/m3,Rockaway and Broad Channel (CD14),Winter 2017-18,2017-12-01,7.0
Fine particles (PM 2.5),Mean,mcg/m3,Rockaway and Broad Channel (CD14),Annual Average 2019,2019-01-01,5.59
Fine particles (PM 2.5),Mean,mcg/m3,Rockaway and Broad Channel (CD14),Annual Average 2022,2022-01-01,5.024423733
Nitrogen dioxide (NO2),Mean,ppb,Flushing and Whitestone (CD7),Summer 2020,2020-06-01,11.06
Nitrogen dioxide (NO2),Mean,ppb,Southeast Queens,Summer 2009,2009-06-01,16.05
Nitrogen dioxide (NO2),Mean,ppb,Southeast Queens,Winter 2014-15,2014-12-01,22.67
Nitrogen dioxide (NO2),Mean,ppb,Bayside Little Neck-Fresh Meadows,Annual Average 2017,2017-01-01,17.2
Nitrogen dioxide (NO2),Mean,ppb,Bayside Little Neck-Fresh Meadows,Annual Average 2021,2021-01-01,14.30918095
Nitrogen dioxide (NO2),Mean,ppb,Bayside Little Neck-Fresh Meadows,Summer 2009,2009-06-01,17.8
Nitrogen dioxide (NO2),Mean,ppb,Bayside Little Neck-Fresh Meadows,Annual Average 2013,2012-12-01,17.46
Nitrogen dioxide (NO2),Mean,ppb,Bayside Little Neck-Fresh Meadows,Winter 2010-11,2010-12-01,27.47
Nitrogen dioxide (NO2),Mean,ppb,Bayside Little Neck-Fresh Meadows,Winter 2014-15,2014-12-01,23.0
Nitrogen dioxide (NO2),Mean,ppb,Bayside - Little Neck,Winter 2015-16,2015-12-01,20.9
Nitrogen dioxide (NO2),Mean,ppb,Bayside - Little Neck,Summer 2016,2016-06-01,12.73
Nitrogen dioxide (NO2),Mean,ppb,Southeast Queens,Summer 2012,2012-06-01,14.32
Nitrogen dioxide (NO2),Mean,ppb,Southeast Queens,Summer 2013,2013-06-01,14.59
Nitrogen dioxide (NO2),Mean,ppb,Southeast Queens,Annual Average 2018,2018-01-01,16.22
Nitrogen dioxide (NO2),Mean,ppb,Southeast Queens,Winter 2021-22,2021-12-01,18.59771003
Nitrogen dioxide (NO2),Mean,ppb,Bayside Little Neck-Fresh Meadows,Annual Average 2018,2018-01-01,16.4
Nitrogen dioxide (NO2),Mean,ppb,Bayside Little Neck-Fresh Meadows,Winter 2021-22,2021-12-01,19.88914473
Nitrogen dioxide (NO2),Mean,ppb,Bayside Little Neck-Fresh Meadows,Summer 2012,2012-06-01,15.41
Nitrogen dioxide (NO2),Mean,ppb,Bayside Little Neck-Fresh Meadows,Summer 2013,2013-06-01,15.0
Nitrogen dioxide (NO2),Mean,ppb,Bayside Little Neck-Fresh Meadows,Annual Average 2016,2015-12-31,17.1
Nitrogen dioxide (NO2),Mean,ppb,Bayside - Little Neck,Summer 2021,2021-06-01,9.969849112
Nitrogen dioxide (NO2),Mean,ppb,Pelham - Throgs Neck,Annual Average 2016,2015-12-31,17.92
Nitrogen dioxide (NO2),Mean,ppb,South Beach - Tottenville,Summer 2012,2012-06-01,8.15
Nitrogen dioxide (NO2),Mean,ppb,Sheepshead Bay (CD15),Annual Average 2017,2017-01-01,16.39
Nitrogen dioxide (NO2),Mean,ppb,Coney Island (CD13),Summer 2011,2011-06-01,12.93
Nitrogen dioxide (NO2),Mean,ppb,Sheepshead Bay (CD15),Winter 2021-22,2021-12-01,19.05259378
Nitrogen dioxide (NO2),Mean,ppb,Queens Village (CD13),Annual Average 2017,2017-01-01,16.49
Nitrogen dioxide (NO2),Mean,ppb,Queens Village (CD13),Annual Average 2021,2021-01-01,14.62480522
Nitrogen dioxide (NO2),Mean,ppb,Queens Village (CD13),Annual Average 2018,2018-01-01,16.26
Nitrogen dioxide (NO2),Mean,ppb,Queens Village (CD13),Summer 2021,2021-06-01,10.40210304
Fine particles (PM 2.5),Mean,mcg/m3,Sheepshead Bay (CD15),Annual Average 2017,2017-01-01,6.85
Fine particles (PM 2.5),Mean,mcg/m3,Queens Village (CD13),Summer 2016,2016-06-01,7.08
Fine particles (PM 2.5),Mean,mcg/m3,Queens Village (CD13),Winter 2020-21,2020-12-01,6.621152709
Nitrogen dioxide (NO2),Mean,ppb,Queens Village (CD13),Winter 2021-22,2021-12-01,18.77722805
Nitrogen dioxide (NO2),Mean,ppb,Sheepshead Bay (CD15),Winter 2017-18,2017-12-01,19.88
Nitrogen dioxide (NO2),Mean,ppb,Queens Village (CD13),Annual Average 2022,2022-01-01,14.27800685
Nitrogen dioxide (NO2),Mean,ppb,Queens Village (CD13),Annual Average 2019,2019-01-01,14.55
Nitrogen dioxide (NO2),Mean,ppb,Queens Village (CD13),Winter 2017-18,2017-12-01,21.61
Fine particles (PM 2.5),Mean,mcg/m3,Queens Village (CD13),Winter 2014-15,2014-12-01,8.23
Fine particles (PM 2.5),Mean,mcg/m3,Queens Village (CD13),Annual Average 2017,2017-01-01,6.77
Fine particles (PM 2.5),Mean,mcg/m3,Queens Village (CD13),Annual Average 2021,2021-01-01,6.338519067
Nitrogen dioxide (NO2),Mean,ppb,Coney Island (CD13),Winter 2022-23,2022-12-01,18.02621754
Nitrogen dioxide (NO2),Mean,ppb,Coney Island (CD13),Annual Average 2023,2023-01-01,13.49860962
Fine particles (PM 2.5),Mean,mcg/m3,Queens Village (CD13),Annual Average 2016,2015-12-31,6.53
Fine particles (PM 2.5),Mean,mcg/m3,Queens Village (CD13),Annual Average 2018,2018-01-01,6.44
Fine particles (PM 2.5),Mean,mcg/m3,Queens Village (CD13),Winter 2021-22,2021-12-01,6.442329619
Fine particles (PM 2.5),Mean,mcg/m3,Queens Village (CD13),Summer 2021,2021-06-01,7.801814418
Nitrogen dioxide (NO2),Mean,ppb,Queens Village (CD13),Summer 2015,2015-06-01,12.07
Nitrogen dioxide (NO2),Mean,ppb,Queens Village (CD13),Summer 2019,2019-06-01,13.03
Nitrogen dioxide (NO2),Mean,ppb,Queens Village (CD13),Winter 2019-20,2019-12-01,20.17
Nitrogen dioxide (NO2),Mean,ppb,Queens Village (CD13),Winter 2022-23,2022-12-01,17.795487
Nitrogen dioxide (NO2),Mean,ppb,Queens Village (CD13),Annual Average 2023,2023-01-01,14.84317832
Nitrogen dioxide (NO2),Mean,ppb,South Bronx,Summer 2010,2010-06-01,22.13
Nitrogen dioxide (NO2),Mean,ppb,Jamaica,Winter 2020-21,2020-12-01,20.87859767
Fine particles (PM 2.5),Mean,mcg/m3,Coney Island (CD13),Annual Average 2019,2019-01-01,5.98
Fine particles (PM 2.5),Mean,mcg/m3,Sheepshead Bay (CD15),Annual Average 2019,2019-01-01,6.07
Nitrogen dioxide (NO2),Mean,ppb,South Beach - Tottenville,Summer 2013,2013-06-01,7.62
Fine particles (PM 2.5),Mean,mcg/m3,Rockaway and Broad Channel (CD14),Winter 2008-09,2008-12-01,10.19
Fine particles (PM 2.5),Mean,mcg/m3,Sunset Park (CD7),Summer 2019,2019-06-01,8.9
Fine particles (PM 2.5),Mean,mcg/m3,East New York,Annual Average 2012,2011-12-01,8.94
Fine particles (PM 2.5),Mean,mcg/m3,Williamsburg - Bushwick,Annual Average 2012,2011-12-01,9.7
Fine particles (PM 2.5),Mean,mcg/m3,Bayside - Little Neck,Annual Average 2012,2011-12-01,8.55
Fine particles (PM 2.5),Mean,mcg/m3,South Beach - Tottenville,Annual Average 2012,2011-12-01,8.28
Boiler Emissions- Total SO2 Emissions,Number per km2,number,Williamsburg - Bushwick,2015,2015-01-01,0.3
Fine particles (PM 2.5),Mean,mcg/m3,East New York,Winter 2010-11,2010-12-01,11.75
Fine particles (PM 2.5),Mean,mcg/m3,East New York,Summer 2009,2009-06-01,10.08
Fine particles (PM 2.5),Mean,mcg/m3,Williamsburg - Bushwick,Winter 2010-11,2010-12-01,14.57
Fine particles (PM 2.5),Mean,mcg/m3,Williamsburg - Bushwick,Summer 2009,2009-06-01,12.74
Fine particles (PM 2.5),Mean,mcg/m3,Williamsburg - Bushwick,Annual Average 2013,2012-12-01,9.36
Fine particles (PM 2.5),Mean,mcg/m3,Upper West Side,Annual Average 2017,2017-01-01,8.33
Fine particles (PM 2.5),Mean,mcg/m3,Bayside - Little Neck,Summer 2009,2009-06-01,9.87
Fine particles (PM 2.5),Mean,mcg/m3,Bayside - Little Neck,Annual Average 2013,2012-12-01,8.08
Fine particles (PM 2.5),Mean,mcg/m3,Bayside - Little Neck,Annual Average 2021,2021-01-01,6.290971464
Fine particles (PM 2.5),Mean,mcg/m3,Bayside Little Neck-Fresh Meadows,Winter 2020-21,2020-12-01,6.407498086
Fine particles (PM 2.5),Mean,mcg/m3,Bayside Little Neck-Fresh Meadows,Summer 2010,2010-06-01,11.31
Fine particles (PM 2.5),Mean,mcg/m3,Bayside Little Neck-Fresh Meadows,Summer 2011,2011-06-01,11.04
Fine particles (PM 2.5),Mean,mcg/m3,Bayside Little Neck-Fresh Meadows,Summer 2016,2016-06-01,7.47
Fine particles (PM 2.5),Mean,mcg/m3,Bayside Little Neck-Fresh Meadows,Winter 2015-16,2015-12-01,7.43
Fine particles (PM 2.5),Mean,mcg/m3,Flatbush and Midwood (CD14),Annual Average 2023,2023-01-01,6.529592865
Fine particles (PM 2.5),Mean,mcg/m3,Sunset Park (CD7),Annual Average 2014,2013-12-01,9.7
Fine particles (PM 2.5),Mean,mcg/m3,Flushing and Whitestone (CD7),Annual Average 2015,2015-01-01,8.48
Fine particles (PM 2.5),Mean,mcg/m3,Sunset Park (CD7),Summer 2014,2014-06-01,9.55
Fine particles (PM 2.5),Mean,mcg/m3,Sunset Park (CD7),Winter 2018-19,2018-12-01,8.02
Boiler Emissions- Total SO2 Emissions,Number per km2,number,Bayside - Little Neck,2013,2013-01-01,1.6
Nitrogen dioxide (NO2),Mean,ppb,South Beach - Tottenville,Annual Average 2013,2012-12-01,11.51
Nitrogen dioxide (NO2),Mean,ppb,South Beach - Tottenville,Winter 2010-11,2010-12-01,20.56
Nitrogen dioxide (NO2),Mean,ppb,South Beach - Tottenville,Summer 2009,2009-06-01,10.8
Fine particles (PM 2.5),Mean,mcg/m3,East New York,Summer 2011,2011-06-01,10.9
Fine particles (PM 2.5),Mean,mcg/m3,Sheepshead Bay (CD15),Annual Average 2022,2022-01-01,5.389991444
Fine particles (PM 2.5),Mean,mcg/m3,Queens Village (CD13),Winter 2017-18,2017-12-01,7.47
Nitrogen dioxide (NO2),Mean,ppb,Coney Island (CD13),Winter 2011-12,2011-12-01,18.16
Nitrogen dioxide (NO2),Mean,ppb,Sheepshead Bay (CD15),Summer 2017,2017-06-01,10.99
Nitrogen dioxide (NO2),Mean,ppb,South Bronx,Summer 2009,2009-06-01,24.57
Nitrogen dioxide (NO2),Mean,ppb,Jamaica,Winter 2014-15,2014-12-01,23.94
Nitrogen dioxide (NO2),Mean,ppb,Jamaica,Annual Average 2021,2021-01-01,15.2992962
Nitrogen dioxide (NO2),Mean,ppb,South Bronx,Annual Average 2021,2021-01-01,18.11753712
Fine particles (PM 2.5),Mean,mcg/m3,Queens Village (CD13),Annual Average 2019,2019-01-01,6.03
Fine particles (PM 2.5),Mean,mcg/m3,Queens Village (CD13),Annual Average 2022,2022-01-01,5.441903521
Fine particles (PM 2.5),Mean,mcg/m3,Borough Park,Winter 2020-21,2020-12-01,6.651149578
Fine particles (PM 2.5),Mean,mcg/m3,Long Island City - Astoria,Summer 2011,2011-06-01,12.33
Fine particles (PM 2.5),Mean,mcg/m3,Jamaica,Winter 2020-21,2020-12-01,6.690577085
Fine particles (PM 2.5),Mean,mcg/m3,Coney Island (CD13),Winter 2022-23,2022-12-01,5.764514434
Fine particles (PM 2.5),Mean,mcg/m3,Sheepshead Bay (CD15),Winter 2019-20,2019-12-01,6.97
Fine particles (PM 2.5),Mean,mcg/m3,Sheepshead Bay (CD15),Winter 2022-23,2022-12-01,5.783695731
Fine particles (PM 2.5),Mean,mcg/m3,Coney Island (CD13),Summer 2018,2018-06-01,7.83
Fine particles (PM 2.5),Mean,mcg/m3,Sheepshead Bay (CD15),Summer 2017,2017-06-01,8.25
Fine particles (PM 2.5),Mean,mcg/m3,South Bronx,Winter 2020-21,2020-12-01,6.835494527
Fine particles (PM 2.5),Mean,mcg/m3,Long Island City - Astoria,Winter 2010-11,2010-12-01,13.64
Nitrogen dioxide (NO2),Mean,ppb,Jamaica,Annual Average 2013,2012-12-01,18.96
Nitrogen dioxide (NO2),Mean,ppb,South Bronx,Summer 2021,2021-06-01,14.46094161
Nitrogen dioxide (NO2),Mean,ppb,South Bronx,Winter 2021-22,2021-12-01,22.85584381
Nitrogen dioxide (NO2),Mean,ppb,Jamaica,Summer 2013,2013-06-01,16.57
Fine particles (PM 2.5),Mean,mcg/m3,Borough Park,Annual Average 2016,2015-12-31,7.45
Fine particles (PM 2.5),Mean,mcg/m3,Borough Park,Summer 2021,2021-06-01,8.338108221
Fine particles (PM 2.5),Mean,mcg/m3,Long Island City - Astoria,Summer 2012,2012-06-01,11.18
Fine particles (PM 2.5),Mean,mcg/m3,Long Island City - Astoria,Summer 2013,2013-06-01,11.07
Nitrogen dioxide (NO2),Mean,ppb,Jamaica,Winter 2017-18,2017-12-01,23.83
Nitrogen dioxide (NO2),Mean,ppb,South Bronx,Annual Average 2022,2022-01-01,17.25017525
Nitrogen dioxide (NO2),Mean,ppb,Long Island City - Astoria,Winter 2017-18,2017-12-01,27.14
Nitrogen dioxide (NO2),Mean,ppb,Long Island City - Astoria,Annual Average 2019,2019-01-01,20.24
Nitrogen dioxide (NO2),Mean,ppb,Jamaica,Winter 2013-14,2013-12-01,26.89
Nitrogen dioxide (NO2),Mean,ppb,Jamaica,Annual Average 2019,2019-01-01,15.51
Nitrogen dioxide (NO2),Mean,ppb,Jamaica,Annual Average 2022,2022-01-01,14.86027012
Fine particles (PM 2.5),Mean,mcg/m3,East New York,Summer 2010,2010-06-01,11.26
Fine particles (PM 2.5),Mean,mcg/m3,Williamsburg - Bushwick,Summer 2011,2011-06-01,13.48
Fine particles (PM 2.5),Mean,mcg/m3,Bayside - Little Neck,Winter 2015-16,2015-12-01,7.37
Fine particles (PM 2.5),Mean,mcg/m3,Bayside - Little Neck,Summer 2016,2016-06-01,7.38
Fine particles (PM 2.5),Mean,mcg/m3,Bayside - Little Neck,Winter 2020-21,2020-12-01,6.409598292
Fine particles (PM 2.5),Mean,mcg/m3,Sunset Park,Summer 2013,2013-06-01,10.62
Fine particles (PM 2.5),Mean,mcg/m3,Sunset Park,Annual Average 2018,2018-01-01,7.72
Fine particles (PM 2.5),Mean,mcg/m3,South Beach - Tottenville,Summer 2010,2010-06-01,11.25
Nitrogen dioxide (NO2),Mean,ppb,Southeast Queens,Winter 2008-09,2008-12-01,25.88
Nitrogen dioxide (NO2),Mean,ppb,Southeast Queens,Winter 2017-18,2017-12-01,21.61
Nitrogen dioxide (NO2),Mean,ppb,Southeast Queens,Annual Average 2022,2022-01-01,14.11301581
Nitrogen dioxide (NO2),Mean,ppb,Bayside Little Neck-Fresh Meadows,Annual Average 2019,2019-01-01,14.65
Nitrogen dioxide (NO2),Mean,ppb,Bayside Little Neck-Fresh Meadows,Annual Average 2022,2022-01-01,14.84032198
Nitrogen dioxide (NO2),Mean,ppb,Bayside Little Neck-Fresh Meadows,Winter 2008-09,2008-12-01,26.5
Nitrogen dioxide (NO2),Mean,ppb,Bayside Little Neck-Fresh Meadows,Winter 2013-14,2013-12-01,25.9
Fine particles (PM 2.5),Mean,mcg/m3,East New York,Summer 2013,2013-06-01,9.68
Fine particles (PM 2.5),Mean,mcg/m3,Williamsburg - Bushwick,Summer 2012,2012-06-01,12.31
Fine particles (PM 2.5),Mean,mcg/m3,Williamsburg - Bushwick,Summer 2013,2013-06-01,12.2
Fine particles (PM 2.5),Mean,mcg/m3,Bayside - Little Neck,Annual Average 2016,2015-12-31,6.88
Fine particles (PM 2.5),Mean,mcg/m3,Southeast Queens,Winter 2014-15,2014-12-01,8.23
Fine particles (PM 2.5),Mean,mcg/m3,Bayside Little Neck-Fresh Meadows,Summer 2009,2009-06-01,9.96
Fine particles (PM 2.5),Mean,mcg/m3,Bayside Little Neck-Fresh Meadows,Winter 2010-11,2010-12-01,12.13
Fine particles (PM 2.5),Mean,mcg/m3,Bayside Little Neck-Fresh Meadows,Annual Average 2013,2012-12-01,8.13
Fine particles (PM 2.5),Mean,mcg/m3,Southeast Queens,Annual Average 2021,2021-01-01,6.22951803
Fine particles (PM 2.5),Mean,mcg/m3,Southeast Queens,Winter 2010-11,2010-12-01,11.44
Fine particles (PM 2.5),Mean,mcg/m3,Southeast Queens,Annual Average 2013,2012-12-01,7.85
Fine particles (PM 2.5),Mean,mcg/m3,Southeast Queens,Summer 2009,2009-06-01,9.65
Fine particles (PM 2.5),Mean,mcg/m3,Southeast Queens,Annual Average 2017,2017-01-01,6.75
Fine particles (PM 2.5),Mean,mcg/m3,Southeast Queens,Summer 2021,2021-06-01,7.692537752
Fine particles (PM 2.5),Mean,mcg/m3,Bayside Little Neck-Fresh Meadows,Winter 2021-22,2021-12-01,6.593739371
Fine particles (PM 2.5),Mean,mcg/m3,Bayside Little Neck-Fresh Meadows,Summer 2013,2013-06-01,9.95
Fine particles (PM 2.5),Mean,mcg/m3,Bayside Little Neck-Fresh Meadows,Summer 2012,2012-06-01,9.87
Fine particles (PM 2.5),Mean,mcg/m3,Jamaica,Winter 2014-15,2014-12-01,8.63
Fine particles (PM 2.5),Mean,mcg/m3,Jamaica,Annual Average 2021,2021-01-01,6.429053208
Fine particles (PM 2.5),Mean,mcg/m3,South Bronx,Annual Average 2021,2021-01-01,6.826255998
Fine particles (PM 2.5),Mean,mcg/m3,Jamaica,Winter 2010-11,2010-12-01,11.87
Fine particles (PM 2.5),Mean,mcg/m3,South Bronx,Summer 2009,2009-06-01,11.35
Fine particles (PM 2.5),Mean,mcg/m3,South Bronx,Winter 2010-11,2010-12-01,14.54
Fine particles (PM 2.5),Mean,mcg/m3,South Bronx,Annual Average 2013,2012-12-01,9.7
Fine particles (PM 2.5),Mean,mcg/m3,South Bronx,Winter 2014-15,2014-12-01,10.57
Fine particles (PM 2.5),Mean,mcg/m3,South Bronx,Annual Average 2017,2017-01-01,8.2
Fine particles (PM 2.5),Mean,mcg/m3,South Bronx,Winter 2021-22,2021-12-01,7.246660099
Fine particles (PM 2.5),Mean,mcg/m3,South Bronx,Summer 2021,2021-06-01,8.792481229
Fine particles (PM 2.5),Mean,mcg/m3,South Bronx,Summer 2012,2012-06-01,11.02
Fine particles (PM 2.5),Mean,mcg/m3,South Bronx,Summer 2013,2013-06-01,10.93
Fine particles (PM 2.5),Mean,mcg/m3,South Bronx,Annual Average 2016,2015-12-31,8.21
Fine particles (PM 2.5),Mean,mcg/m3,South Bronx,Annual Average 2018,2018-01-01,7.7
Fine particles (PM 2.5),Mean,mcg/m3,Borough Park,Annual Average 2022,2022-01-01,5.665083598
Fine particles (PM 2.5),Mean,mcg/m3,Jamaica,Winter 2017-18,2017-12-01,7.71
Fine particles (PM 2.5),Mean,mcg/m3,South Bronx,Annual Average 2022,2022-01-01,6.190293563
Fine particles (PM 2.5),Mean,mcg/m3,South Bronx,Winter 2008-09,2008-12-01,14.74
Fine particles (PM 2.5),Mean,mcg/m3,South Bronx,Winter 2013-14,2013-12-01,13.08
Fine particles (PM 2.5),Mean,mcg/m3,South Bronx,Winter 2017-18,2017-12-01,8.65
Fine particles (PM 2.5),Mean,mcg/m3,Jamaica,Winter 2013-14,2013-12-01,10.93
Fine particles (PM 2.5),Mean,mcg/m3,Jamaica,Annual Average 2019,2019-01-01,6.24
Fine particles (PM 2.5),Mean,mcg/m3,Jamaica,Annual Average 2022,2022-01-01,5.627665469
Fine particles (PM 2.5),Mean,mcg/m3,Jamaica,Winter 2008-09,2008-12-01,12.69
Fine particles (PM 2.5),Mean,mcg/m3,Borough Park,Winter 2022-23,2022-12-01,6.105061444
Fine particles (PM 2.5),Mean,mcg/m3,Borough Park,Annual Average 2023,2023-01-01,6.58301364
Fine particles (PM 2.5),Mean,mcg/m3,Canarsie - Flatlands,Summer 2015,2015-06-01,8.97
